1id,Locality,Family,Fam_new,
1,APR,2,A1,A
1,APR,3,A2,A
1,APR,4,A3,A
1,APR,6,A4,A
1,APR,7,A5,A
1,APR,8,A6,A
1,APR,10,A7,A
1,APR,14,A8,a
1,APR,18,A9,A
1,APR,19,A10,A
1,APR,33,A11,A
1,APR,36,A12,A
1,APR,38,A13,A
1,APR,40,A14,A
1,APR,44,A15,A
1,ARS,1,A16,A
1,ARS,3,A17,A
1,ARS,4,A18,A
1,ARS,6,A19,A
1,ARS,8,A20,A
1,ARS,9,A21,A
1,ARS,13,A22,A
1,ARS,14,A23,A
1,ARS,16,A24,A
1,ARS,17,A25,A
1,RMO,5,R1,A
1,RMO,6,R2,a
1,RMO,13,R3,A
1,RMO,17,R4,A
1,RMO,18,R5,a
1,RMO,24,R6,a
1,RMO,26,R7,a
1,RMO,27,R8,a
1,RMO,28,R9,a
1,RMO,30,R10,A
1,RMO,33,R11,a
1,RMO,36,R12,A
1,RMO,39,R13,a
1,RMO,41,R14,a
1,RMO,42,R15,A
1,RPV,11,R16,a
1,RPV,12,R17,a
1,RPV,15,R18,a
1,RPV,17,R19,a
1,RPV,18,R20,a
1,RPV,19,R21,a
1,RPV,20,R22,a
1,RPV,23,R23,a
1,RPV,25,R24,a
1,RPV,28,R25,a
1,RPV,33,R26,a
1,RPV,37,R27,a
1,RPV,38,R28,a
1,RPV,42,R29,a
1,RPV,43,R30,a
1,TPN,9,T1,A
1,TPN,11,T2,A
1,TPN,12,T3,A
1,TPN,14,T4,A
1,TLC,74,T5,A
1,TLC,75,T6,A
1,TLC,76,T7,A
1,TLC,77,T8,A
1,TLC,79,T9,A
1,TLC,80,T10,A
1,TLC,82,T11,A
1,TLC,83,T12,A
1,SJU,1,S1,A
1,SJU,2,S2,A
1,SJU,3,S3,A
1,SJU,4,S4,A
1,SJU,5,S5,S
1,SJU,6,S6,a
1,SJU,7,S7,A
1,SJU,9,S8,A
1,SJU,10,S9,A
1,SJU,11,S10,A
1,SJU,12,S11,A
