Locality,Temperature,Status,Count
ARS,A,Alive,134
APR,A,Alive,198
RPV,A,Alive,181
RMO,A,Alive,192
TLC,A,Alive,92
TPN,A,Alive,32
SJU,A,Alive,129
ARS,B,Alive,135
APR,B,Alive,198
RPV,B,Alive,184
RMO,B,Alive,197
TLC,B,Alive,84
TPN,B,Alive,35
SJU,B,Alive,123
ARS,C,Alive,130
APR,C,Alive,179
RPV,C,Alive,141
RMO,C,Alive,160
TLC,C,Alive,71
TPN,C,Alive,24
SJU,C,Alive,33
ARS,A,Dead,11
APR,A,Dead,20
RPV,A,Dead,38
RMO,A,Dead,31
TLC,A,Dead,28
TPN,A,Dead,27
SJU,A,Dead,31
ARS,B,Dead,8
APR,B,Dead,19
RPV,B,Dead,39
RMO,B,Dead,26
TLC,B,Dead,34
TPN,B,Dead,20
SJU,B,Dead,36
ARS,C,Dead,16
APR,C,Dead,32
RPV,C,Dead,83
RMO,C,Dead,62
TLC,C,Dead,49
TPN,C,Dead,36
SJU,C,Dead,132
